,insitu67049,insitu30437,insitu53132,insitu18855,insitu53110,insitu67016,insitu64380,insitu71591
insitu67049,1.0,0.00015136691374910551,0.00022879243566383854,5.655016874286684e-16,0.00015839633860158432,0.0002450681250928838,0.00013914869387071877,6.67993174033243e-05
insitu30437,0.00013118465858255813,1.0,0.0006538704819358861,3.19861619269241e-17,0.0011656251749200173,0.0,7.149501246865438e-05,0.0
insitu53132,0.000270391060329991,0.0008916415662762084,1.0,0.0005094345606984259,0.0002565031416736649,0.00039735868861483746,0.0009967820227767086,0.0007332608449936499
insitu18855,5.655016874286684e-16,3.6907109915681654e-17,0.00043106001289866806,1.0,0.0015041314547694497,0.0,0.00022544222657462068,0.0002702033796800286
insitu53110,0.00022879471131339959,0.0019427086248666955,0.00031350383982336826,0.0021726343235558714,1.0,0.00020760837534576765,0.00102466148312512,0.0017073193558078288
insitu67016,0.00018740503683573463,0.0,0.0002571144455743066,0.0,0.00010991031635952405,1.0,0.0001296796466934973,6.555364575990605e-05
insitu64380,0.00012059553468795627,7.149501246865438e-05,0.0007309734833695863,0.00019538326303133793,0.000614796889875072,0.00014697026625263028,1.0,0.00013459846868111284
insitu71591,7.236592718693465e-05,0.0,0.0006721557745775125,0.00029272032798669765,0.0012804895168558716,9.286766482653358e-05,0.00016824808585139107,1.0
