,insitu67049,insitu30437,insitu53132,insitu18855,insitu53110,insitu67016,insitu64380,insitu71591
insitu67049,1.0,0.00015136691374910551,0.00022879243566383854,5.655016874286684e-16,0.00015839633860158432,0.0002450681250928838,0.00013914869387071877,6.67993174033243e-05
insitu53132,0.00038655955349977024,0.001326342051337027,1.0,0.000915977233351282,0.0004632093705464602,0.0004007906813943396,0.0010149420003878777,0.001206908752957048
insitu53110,0.00045450613524456,0.004760299333119075,0.0012284143665373182,0.00261187977467693,1.0,0.0008556504748389107,0.004226262920045669,0.002992123298616158
